"","Sub1","Gnas","Ctsd","Kif1a","Tcf25","Aldoa","Pkm","Slc25a3","Hspa8","Rpl41","Gabarapl1","Gm6682","Oxct1","Atp6v0c-ps2","Purb","Atp6v1a","Eif4g2","Rps27a","Ubc","Cltc","Tspan3","Aplp2","Lars2","Tspan7","Ndufa4","Sumo1","Rpl7","Dynlrb1","Ndufv3","Gstm5","Gm15421","Ndufa5","Cox7b","Rnasek","Uqcrh","Ndufb10","Eif4a2","Atp5j2","Ldhb","Atp5f1","Ndufa13","Uqcrc2","Ndufv2","Atp5j","Ndufa11","Ndufa6","Atp6v1f","Ndufb9","Akr1a1","Mdh1","Vdac3","Sod1","BC002163_loc1","Ndufb5","Hspe1","Gpx4","Cox4i1","Npm1","Myl12b","Hint1","Gpi1","Atp6v1e1","Atp5h","Gm5506_loc1","Gabarapl2","Atp5g3","Acot7","Tuba1b","Slc25a4","Chchd2","Atp5b","Prdx2","Ckb","Morf4l2","Tuba1a","Ran","Atp6ap2","Skp1a","Ppp2r1a","Cst3","Ubb","Mdh2","Ndufa12","Pgk1","Atp5a1","Atp5o","Ghitm","Uqcrq","Ndufb8","Cox6a1","Camk2n1","Slc1a2","H2afz","Ubl5","Timm8b","Vps29","Calm1","Ppia","Nap1l1","Grcc10","Tubb5","Rps28","Rps24","Rps15a-ps4","Rpl32","Rps20","Rplp1","Sumo2","Rpl39","Polr2l","Rps29","Cox8a","Vmp1","Tomm7","Tpi1","Atp5l","Atp5e","Mif","Atp5k","Cox7c","Cox6b1","Cox7a2","Usmg5","Cox6c","Atp6v1d","Nedd8","Atpif1","Atp5c1","Scg5","Ndufb4","Uqcr10","Nme1","Ndufc1","Cycs","2010107E04Rik","Ndufa1","Uqcr11","Meg3","Luc7l3","Pea15a","Ttc3","Gdi1","G3bp2","Arl6ip1","Hsp90aa1","Tmod2","Ywhaq","Atxn7l3b","Serinc1","Sparcl1","Hsp90ab1","Ywhaz","Matr3","Actg1","H3f3b","Actb","Gpm6a","Dynll1","Gpm6b","Gstp1","Itm2b","Fkbp1a","Sh3bgrl3","Calm2","Brk1","Nmt1","Capza2","Fth1","Tmsb4x","Slc22a17","Ywhab","Prkar1a","Psap","Tmem30a","Ncam1","Map1a","Dpysl2","Cfl1","App","Map1b","Syt11","Sptbn1","Cpe","Aplp1","2900097C17Rik","Ywhae","Rtn3","Serbp1","Eef1a1","Canx","Pja2","Calm3","Arf1","Trim2","Ppp3ca","Zeb2","Tppp","Tcf4","Gnao1","Gria2","Atp2b1","Rab6a","Ctsb","Prnp","Rtn4","Nptn","Prkcb","Kif1b","Atp2a2","Egr1","Scd2","Hmgcs1","Taldo1","Ctsl","Ptma","Ftl1","Cd81","1810037I17Rik","Prdx1","Malat1","Ptn","Pcdh9","Ptprd","Rnf7","Sf3b1","Eef1b2","Myeov2","Prrc2c","H3f3a","Rps12","Amd2","Ank3","Cisd1","Ndufs7","Oaz1-ps","Eef2","Hsp90b1","Metap2","Naca","Myl6","Sec61g","Ccdc88a","Gnb2l1","Gm15772","Eif4a1","Gabarap","Psmb6","Nme2","Spag9","Rpl23","Rpl19","Eif1","Rpl27","Mapt","Ddx5","Rpl38","Rpl36al","Actr10","Psma3","Erh","Srsf5","Rbm25","Dync1h1","Prpf4b","Hnrnpk","Ndufs6","Sdha","Cetn3","Rps23","Btf3","Vdac2","Selk","Spcs1","Hnrnpc","Dad1","Bnip3l","Tpt1","Mbnl2","Cct5","Pabpc1","Rpl8","Tnrc6b","Rbx1","Tmbim6","Pfdn5","Rpl31-ps12","Rpl35a","Cox17","Rpl24","Son","Gtf2h5","Mpc1","Psmb1","Tceb2","Gm6402","Ndufa7","Rps18","Cox7a2l","Paip2","Pura","Ndufa2","Rps14","BC031181","Ier3ip1","Fau","Hspa5","Rab14","Rpl35","Ssb","Dync1i2","Psmc3","Srp14","Serf2","Hypk","Dstn","Csnk2a1","Eif2s2","Rbm39","Top1","Serinc3","Psma7","Rps21","Sec62","Rps3a1","Csde1","Psma5","Sars","Sep-15","Zranb2","Sdcbp","Rab2a","Sfrs18","Dnaja1","Vcp","Atp6v1g1","Rps6","Tmem59","Scp2","Atp6v0b","Psmb2","Tmem50a","Srrm1","Cdc42","Eif4g3","Minos1","Sdhb","Park7","Kmt2e","Rpl5","Gm13826","Fis1","Arpc1a","Pdap1","Pomp","Hmgb1","Shfm1","Mrps33","Hnrnpa2b1","Cbx3","Mat2a","Cct7","Cnbp","Gm6654","Ndufa3","Rps9","Clcn4-2","Rps5","Rps16","Rpl13a","Ndufc2","Rps3","Fam168a","1110004F10Rik","Rps13","Eif3c","Rplp2","Lamp1","Tmem66","Clcn3","Uba52","Rpl18a","Ndufb7","Tecr","Vps35","Psmd7","Hsbp1","Map1lc3b","Elavl3","Sep-07","Rps25","Psma4","Rpl4","Ppib","Nedd4","Tma7","Rpsa","Ndufb11","Slc25a5","Atp6ap1","Atrx"
"1772067094_F10",46,16,3,2,9,37,4,13,18,4,7,2,2,23,9,16,19,6,4,4,4,4,37,3,17,8,0,3,6,2,0,15,3,7,1,8,3,7,13,11,19,2,4,5,3,5,1,3,3,30,16,4,0,1,1,2,4,0,25,3,2,14,14,4,2,1,3,5,22,8,17,1,11,1,19,3,5,2,6,5,3,2,1,4,12,18,10,5,11,4,4,2,2,1,5,2,53,18,6,12,0,5,0,4,2,1,2,2,4,3,6,11,0,7,4,14,9,16,12,8,20,4,9,1,9,4,10,7,28,2,11,12,11,17,3,6,13,32,5,3,16,6,8,11,68,3,15,4,37,14,63,49,5,27,12,93,34,19,3,2,52,17,10,171,2,13,1,14,43,15,14,9,8,16,17,3,13,14,73,16,31,24,67,28,34,12,28,9,30,13,30,20,13,20,43,8,4,16,8,43,58,13,1,18,10,20,27,5,12,3,5,4,2,0,5,0,1,1,2,506,1,7,0,0,10,2,11,8,0,2,4,7,1,2,3,5,6,0,2,16,16,3,0,0,3,4,3,2,1,3,2,6,1,2,26,1,4,3,0,2,3,2,3,5,18,4,9,3,3,0,3,2,0,0,0,0,8,4,0,5,2,5,3,0,4,2,1,6,4,12,3,1,2,11,2,5,2,4,2,3,2,1,0,2,3,1,10,6,0,8,3,4,1,1,3,0,17,0,0,7,1,4,6,1,2,2,3,2,3,2,7,0,4,16,1,6,1,0,11,2,5,11,21,1,12,2,2,1,1,2,0,6,11,3,7,7,1,13,4,5,3,21,4,3,1,1,3,2,0,3,1,1,1,6,6,1,4,3,17,2,1,3,8,21,2,2,2,4,8,2,3,7,0,0,3,1,6,1,3,3
"1772067094_C10",16,8,0,11,6,41,5,13,15,0,2,4,3,12,0,9,8,6,20,1,0,8,40,3,11,3,2,3,4,0,0,10,3,2,8,5,13,11,0,9,2,2,7,4,2,1,2,2,4,14,14,1,0,5,1,1,1,8,17,0,5,11,1,3,0,11,1,5,2,5,5,2,11,4,37,2,3,2,4,5,5,6,2,7,4,5,9,4,6,9,1,0,1,1,0,2,55,15,1,11,8,2,1,4,18,5,3,4,3,10,16,4,5,2,15,2,6,4,2,4,7,13,5,2,3,2,5,1,25,0,8,5,1,4,15,1,0,56,19,6,20,4,18,8,81,6,26,2,3,7,56,11,6,36,4,97,14,34,6,0,20,13,4,53,6,3,2,10,57,5,11,3,2,14,5,1,7,7,47,28,12,54,35,38,22,7,15,11,33,3,37,26,11,17,32,0,1,12,8,69,46,2,3,6,9,4,18,17,6,5,0,0,2,1,3,1,0,0,1,786,2,2,0,0,14,4,3,4,4,1,8,4,5,1,5,2,23,2,0,12,9,3,1,3,14,0,1,6,1,6,2,2,2,6,12,2,12,1,0,12,0,7,5,1,0,3,1,0,1,7,0,0,0,0,4,0,7,4,9,6,3,4,2,2,3,2,2,2,1,5,4,4,1,0,3,0,1,5,0,3,6,3,1,1,4,0,4,2,1,11,0,11,1,3,1,1,4,17,4,4,4,4,5,5,2,0,4,1,5,1,4,8,3,8,1,1,0,0,8,1,0,3,9,4,6,0,6,0,3,1,0,8,9,1,0,5,9,12,2,2,0,2,2,2,1,8,0,2,0,0,8,2,2,0,4,1,1,3,9,9,0,1,7,0,14,0,3,1,4,4,3,0,1,2,5,4,7,0,3,4
"1772067096_H12",24,10,0,8,3,30,7,4,12,3,6,2,1,22,7,23,4,0,12,7,3,2,29,5,10,1,0,4,1,5,1,1,7,4,1,3,11,12,5,2,4,2,0,1,1,2,5,4,6,22,1,4,0,0,1,1,3,2,8,2,7,13,2,3,3,2,1,6,25,9,8,5,6,1,28,4,0,2,2,2,3,1,3,5,12,3,3,1,0,2,8,2,2,1,2,3,53,19,3,9,4,4,0,0,0,0,3,1,4,0,3,6,0,0,6,4,7,5,3,9,11,3,6,3,11,6,3,3,19,2,0,9,1,19,8,4,9,58,11,2,19,7,17,10,55,5,9,5,12,9,46,22,3,28,4,38,26,13,12,5,20,17,6,95,1,10,1,11,33,11,6,1,5,7,0,3,4,3,51,24,30,10,20,19,27,6,3,5,8,1,27,26,9,13,30,6,3,18,8,57,78,8,1,11,6,7,20,10,13,6,3,3,0,0,3,3,0,0,3,466,0,3,7,0,4,1,5,0,2,0,4,5,7,1,1,0,3,0,1,7,2,1,0,2,4,0,0,2,3,7,4,3,1,3,18,3,0,0,4,1,3,0,5,0,1,1,2,3,0,0,5,2,2,0,0,2,5,6,2,5,1,3,1,3,2,3,3,3,1,7,2,0,4,4,2,5,0,2,0,3,1,1,1,2,4,7,0,0,0,5,2,2,2,0,3,0,5,2,0,2,12,0,5,3,7,2,5,1,3,2,3,2,3,9,2,0,2,0,3,1,6,6,6,1,4,1,2,3,1,0,1,3,10,2,1,0,2,13,3,4,2,11,3,2,1,2,0,3,9,3,0,2,3,3,2,2,2,1,0,4,3,0,6,3,5,4,6,3,4,0,3,3,1,3,1,1,3,1,2,11
"1772067093_C12",42,5,2,8,6,79,1,25,14,3,1,2,9,11,10,9,10,0,15,10,17,8,33,2,15,5,3,1,1,1,5,12,1,1,1,8,5,10,24,2,14,4,6,3,2,2,0,5,6,19,4,5,1,0,3,1,2,0,12,0,19,19,4,1,3,1,2,18,16,12,5,1,17,10,48,1,0,1,6,12,2,5,3,4,11,8,11,16,0,1,9,3,3,2,2,0,29,19,0,9,2,7,0,3,0,0,7,20,1,3,4,20,0,0,2,10,9,1,16,6,3,24,24,0,6,3,5,0,44,10,11,13,2,2,5,7,17,21,20,6,12,10,0,14,28,0,22,13,13,2,68,28,3,16,2,41,18,41,8,15,79,11,14,159,0,3,1,14,29,18,4,4,5,0,0,0,0,4,85,19,46,20,54,0,22,7,21,5,14,3,29,37,7,29,24,6,0,13,6,72,40,4,1,16,9,11,16,8,38,4,1,0,0,1,3,0,0,1,2,988,0,0,0,0,11,3,3,1,3,3,7,1,0,1,1,0,6,6,1,8,1,4,1,2,29,4,1,19,1,0,1,1,1,1,7,8,8,2,2,3,2,1,8,1,0,9,11,0,0,5,0,1,8,4,0,1,8,7,6,12,0,2,4,0,0,9,2,1,1,8,0,0,0,8,10,3,1,4,1,3,16,1,3,0,0,0,9,7,5,6,0,21,0,3,1,0,9,5,0,6,23,0,7,5,1,2,7,4,1,0,3,2,3,15,1,7,1,1,7,0,4,21,12,5,0,0,6,6,0,3,2,9,1,0,0,0,8,38,2,0,1,15,0,1,1,14,1,1,3,3,0,0,1,10,0,2,2,0,0,0,3,0,2,3,1,5,2,5,0,0,0,0,1,2,0,1,3,1,1,12
"1772067093_D11",28,7,12,2,3,45,1,23,14,5,2,3,4,22,2,27,4,3,12,3,14,8,42,5,19,6,0,0,2,0,7,12,1,0,1,4,11,3,15,11,5,2,5,12,6,8,2,5,15,17,5,0,1,3,1,0,3,0,1,1,5,9,5,1,1,5,3,6,22,2,6,2,27,5,21,2,8,2,11,63,2,5,4,1,6,19,0,18,9,8,0,12,3,7,3,3,47,11,4,0,0,1,8,2,0,1,12,0,0,6,6,26,2,10,4,8,0,0,11,13,8,25,17,4,5,4,4,9,18,7,8,10,5,10,2,6,2,17,15,11,17,1,5,12,40,3,25,17,24,54,56,8,6,40,10,57,29,19,10,6,37,10,0,156,0,3,2,12,31,9,4,3,5,2,20,1,13,6,69,14,49,11,57,47,32,10,14,5,12,5,39,12,3,23,17,12,2,17,4,71,53,7,2,14,7,6,20,9,13,0,0,4,1,6,3,2,6,0,4,850,9,0,0,0,16,2,16,0,5,3,2,9,8,2,1,2,22,1,3,17,0,5,0,1,13,0,2,0,2,3,4,3,4,1,30,2,1,4,2,1,3,2,3,0,15,6,6,2,0,0,0,2,8,1,3,6,0,8,3,6,3,0,1,6,3,3,1,3,1,9,3,2,12,1,8,3,0,0,0,1,4,1,2,4,4,1,12,4,6,7,5,4,2,3,5,3,15,13,2,8,1,0,11,3,4,0,0,4,1,0,8,0,5,5,1,11,5,5,5,0,1,0,9,3,4,7,12,7,2,4,1,3,8,2,10,7,3,15,5,8,0,4,2,4,1,3,5,1,1,0,4,5,0,0,4,1,3,3,10,2,9,0,12,0,14,3,0,0,2,4,4,6,1,3,2,0,2,2,6,3
"1772067093_C04",18,15,2,0,7,90,9,8,20,0,8,2,3,11,4,24,0,7,11,5,4,0,35,2,6,0,3,1,6,0,0,1,3,15,6,11,8,1,12,4,6,6,3,1,2,7,2,3,0,18,0,2,2,0,2,1,2,1,17,2,1,3,1,1,2,37,0,21,12,17,9,1,9,0,33,0,0,3,4,3,1,2,1,4,10,4,1,15,13,0,1,0,1,5,2,4,38,6,1,2,0,1,0,1,6,0,1,2,0,0,9,0,4,0,4,4,8,8,5,11,11,0,12,9,4,11,11,5,8,7,4,1,4,8,4,6,8,70,11,5,20,1,12,21,39,2,20,25,30,22,88,22,10,26,5,85,3,10,4,3,17,10,11,87,5,4,0,10,56,4,9,5,8,4,21,4,0,8,57,18,30,11,29,11,7,8,24,3,17,4,41,28,16,21,38,0,0,15,9,23,72,3,0,12,9,7,14,15,17,1,1,0,0,3,9,2,0,2,0,463,3,4,3,0,5,2,17,3,0,3,0,4,2,3,3,0,6,0,4,12,10,6,1,5,11,1,2,7,0,9,3,0,5,5,25,1,7,4,0,0,1,3,8,0,1,1,10,2,6,4,0,3,0,0,0,2,3,2,13,8,2,1,2,2,0,1,4,2,3,7,2,0,6,5,3,6,0,2,1,5,4,1,1,0,4,2,13,0,0,10,2,5,0,0,2,1,9,21,5,4,2,0,4,7,3,0,6,0,0,0,6,3,2,6,1,3,0,2,11,0,7,5,19,4,8,0,7,1,4,0,1,7,1,2,5,4,4,16,1,1,5,1,1,1,2,2,1,3,4,4,2,2,2,7,8,1,0,0,2,2,2,2,0,11,10,2,3,2,4,2,2,1,0,1,4,2,3,2,4,18
"1772067093_F12",26,10,4,4,3,49,4,4,5,0,4,3,5,28,11,14,6,1,12,0,11,1,32,4,20,2,7,1,3,2,0,15,1,10,4,4,9,4,6,2,6,4,0,3,1,6,0,2,1,24,6,1,0,0,1,1,3,2,4,0,3,4,0,2,3,24,3,2,22,5,10,4,3,5,49,0,2,2,2,9,0,5,0,5,9,6,2,0,10,0,2,0,0,2,0,4,41,18,1,3,7,4,1,0,3,4,2,12,8,1,20,4,2,1,19,7,0,2,4,3,6,19,15,3,16,1,14,6,21,6,26,17,4,18,2,12,4,16,1,3,7,3,1,3,54,6,16,14,20,15,33,37,1,31,10,48,28,12,6,8,46,15,23,137,4,6,1,8,25,37,5,5,3,4,17,1,8,7,71,29,6,26,80,15,30,5,15,2,22,10,31,18,24,9,21,8,2,13,11,25,33,0,3,20,10,8,22,2,12,2,0,2,0,0,2,7,2,1,0,959,0,2,0,7,6,0,6,0,0,2,5,4,0,2,2,1,7,0,2,21,0,1,0,1,7,2,3,5,3,1,2,4,1,6,12,1,1,1,0,1,1,3,2,0,8,8,5,1,0,4,0,7,0,4,1,6,3,3,1,4,2,2,1,1,0,0,0,2,1,12,2,1,7,5,0,0,1,2,1,1,3,3,1,0,2,1,4,4,3,6,6,0,1,0,1,1,9,5,2,4,2,2,6,0,4,0,2,0,0,1,6,0,0,3,2,6,1,2,1,3,6,12,19,1,3,2,4,5,2,1,0,6,3,0,2,5,4,20,4,15,4,8,2,1,0,2,3,0,5,2,6,3,1,2,1,1,0,1,0,6,1,0,8,0,1,1,3,7,2,2,5,1,1,1,1,0,7,2,3,4
"1772067096_E06",27,10,2,7,3,36,6,14,13,2,4,0,6,21,2,18,6,0,6,4,9,1,22,5,14,0,0,4,1,2,0,4,10,6,1,6,7,4,5,0,4,3,2,2,2,3,1,2,0,12,3,2,1,3,1,0,2,2,18,0,8,12,3,5,1,4,1,8,12,4,15,2,9,1,24,2,7,0,1,5,1,8,1,4,9,4,2,4,0,5,3,0,3,0,1,1,38,14,2,2,9,0,1,0,0,0,14,0,1,0,15,9,2,1,8,4,2,0,14,0,10,0,3,5,0,0,2,0,14,0,5,3,2,3,8,0,2,53,5,2,19,6,10,1,42,15,13,8,23,5,38,19,2,17,7,70,30,24,7,2,28,13,2,66,3,4,3,19,22,4,9,4,8,6,4,7,16,11,54,24,24,20,23,23,24,7,19,2,12,8,9,18,11,6,42,12,1,9,8,92,59,4,5,25,7,10,22,13,24,3,3,0,2,2,11,1,1,1,2,317,1,7,1,1,1,0,6,2,0,2,3,5,0,0,3,4,16,1,3,10,1,2,0,2,2,1,1,4,0,5,1,6,1,1,10,1,1,0,3,3,1,3,4,3,2,0,0,1,3,6,1,1,3,8,2,7,5,5,4,2,0,0,0,4,0,2,2,3,2,7,3,2,0,6,1,0,1,0,2,1,3,1,0,2,2,2,2,0,1,5,2,2,0,5,3,0,3,2,6,2,2,0,8,0,5,2,1,2,2,0,4,3,8,10,1,3,4,4,2,2,7,2,1,5,2,0,3,2,0,1,2,5,3,0,6,5,0,11,4,3,2,2,0,0,1,0,1,0,1,2,3,3,1,1,4,0,3,0,4,5,6,0,3,0,4,4,0,1,6,0,2,2,0,4,0,3,1,1,6,5
"1772067094_C11",21,12,1,14,0,33,1,5,13,5,2,1,2,15,0,34,2,0,14,5,4,1,37,6,13,2,1,3,4,2,0,8,0,2,9,3,16,0,14,6,1,3,0,6,1,9,0,0,0,12,1,0,2,3,0,0,0,8,17,1,3,6,4,4,0,16,1,8,10,9,5,2,5,4,32,0,2,3,0,0,2,3,1,2,6,18,10,1,3,4,1,0,2,1,0,2,32,16,1,3,11,6,0,0,3,0,0,7,1,0,15,1,6,3,2,1,0,3,4,2,0,9,1,8,3,7,1,5,14,1,5,0,9,6,7,1,2,12,14,4,10,4,7,9,64,0,11,15,10,9,41,38,2,70,13,60,16,17,12,11,24,11,0,72,3,3,4,8,39,6,4,4,7,3,25,0,0,4,48,13,27,18,18,8,26,5,15,5,15,2,14,16,1,63,33,25,1,23,2,65,51,4,3,14,10,7,14,13,6,6,2,4,0,4,2,2,0,0,4,473,2,0,4,2,16,0,3,1,9,0,6,4,0,1,4,0,5,2,3,8,0,1,0,0,16,2,1,8,0,2,0,0,0,3,18,1,0,2,0,11,0,1,2,0,4,3,17,0,1,0,1,1,10,16,3,1,8,2,5,0,1,1,2,2,0,6,0,1,3,4,1,2,1,4,0,3,0,0,0,4,0,2,4,1,4,2,4,6,6,4,2,0,2,1,2,0,3,17,1,9,10,1,5,1,4,0,1,1,2,3,2,1,4,1,0,1,1,0,13,0,8,0,6,2,4,1,5,2,0,1,1,5,5,0,2,8,12,14,3,0,0,10,2,2,0,3,1,3,0,0,7,3,1,1,2,0,0,0,3,1,0,1,10,4,13,5,1,5,5,0,0,1,0,2,2,3,0,2,2,5
"1772067096_E08",49,7,7,7,5,28,6,10,18,2,6,2,5,18,3,44,6,3,9,11,12,3,43,8,15,3,3,5,2,6,1,4,4,3,5,3,9,12,2,5,4,4,2,2,2,1,2,1,1,9,1,3,2,1,3,0,7,1,12,4,10,5,3,8,4,9,4,5,28,9,11,2,12,8,37,3,0,3,2,67,3,1,1,7,5,6,5,4,6,5,4,20,5,1,4,1,58,20,2,2,3,3,2,0,3,0,3,4,10,3,8,7,4,7,11,5,3,8,14,5,17,5,11,5,15,3,10,2,29,10,12,3,3,7,3,2,4,96,19,5,18,4,2,20,66,15,16,16,30,32,73,24,8,22,3,30,50,11,11,3,49,14,5,89,3,5,2,16,21,14,12,4,13,21,27,8,2,3,33,11,25,15,73,21,16,5,8,7,11,9,26,7,5,10,33,12,4,8,10,54,58,6,3,29,11,8,27,11,11,3,12,2,4,2,1,1,3,1,4,760,15,3,7,2,3,4,12,0,2,4,8,10,5,2,3,1,26,1,2,19,6,1,1,0,5,1,1,3,1,4,2,2,2,1,8,3,1,0,4,0,5,2,6,1,1,4,5,1,1,2,1,3,1,5,7,4,7,6,3,7,2,2,3,3,4,9,2,4,3,10,3,3,3,4,2,2,0,2,2,5,6,2,0,4,3,5,8,7,3,10,1,11,2,1,1,2,3,4,4,1,2,1,5,0,9,1,2,0,0,2,5,7,4,7,1,7,1,2,21,2,11,4,8,4,5,3,10,2,2,10,1,5,7,0,4,2,6,3,5,0,4,2,0,3,1,4,6,6,5,0,6,3,1,6,7,2,2,5,20,2,6,2,15,2,10,4,1,6,14,1,1,8,2,5,2,1,3,2,8,6
"1772067094_G05",61,10,5,12,1,65,5,7,33,5,3,10,4,20,2,9,7,4,8,14,11,0,56,4,15,6,2,4,7,2,3,7,5,7,5,0,15,16,6,22,12,4,5,5,6,8,4,8,0,21,0,3,3,1,1,0,7,0,3,1,14,14,3,4,0,10,1,28,14,16,15,4,6,9,79,3,5,3,5,7,2,7,5,3,16,5,6,11,15,6,3,1,2,4,3,3,65,33,0,21,4,8,1,2,9,2,9,1,6,9,15,23,9,2,3,5,8,0,12,9,20,14,20,10,11,3,16,2,16,13,22,8,6,15,6,7,9,14,16,17,20,5,0,5,50,18,34,15,16,11,71,25,8,36,1,45,22,45,6,11,52,8,9,108,3,5,3,17,46,7,13,1,2,4,17,2,0,9,33,11,9,25,73,60,12,9,14,6,26,14,9,21,10,9,26,7,2,8,1,46,51,6,5,18,11,4,6,4,26,4,2,7,5,0,2,0,2,1,1,382,3,0,3,7,9,0,0,1,2,3,7,3,0,2,5,2,15,0,1,14,13,1,2,2,20,3,6,18,1,0,2,10,3,3,11,2,6,1,3,2,1,5,7,1,5,14,5,1,2,3,3,4,6,2,0,7,5,4,1,4,1,2,7,1,2,1,1,2,1,4,3,6,6,9,0,1,0,4,1,4,9,5,2,3,4,2,4,7,1,9,1,10,1,1,1,2,2,9,5,4,6,5,6,5,4,3,5,1,0,2,1,2,4,5,3,11,2,0,7,0,9,12,11,0,7,3,9,1,3,1,0,4,5,4,9,5,5,12,0,5,5,15,3,4,4,6,1,3,5,4,2,3,4,3,3,2,2,2,3,5,0,1,36,5,1,3,1,1,6,3,3,2,0,2,10,0,4,4,6,12
"1772067093_F02",28,6,0,3,4,26,9,8,19,0,4,3,0,16,1,13,2,2,6,1,8,0,21,3,14,9,0,5,1,2,0,4,2,3,4,1,8,10,2,1,6,6,0,1,1,4,0,1,9,5,0,1,1,2,3,0,0,0,3,3,3,6,0,2,1,12,4,22,24,3,7,1,7,2,27,0,0,7,8,4,4,4,0,1,14,0,5,5,8,2,2,0,1,1,4,2,34,11,2,2,0,1,0,0,1,3,3,0,3,0,8,12,0,6,0,2,0,6,8,8,7,1,7,4,6,3,7,4,10,9,10,11,4,11,9,2,0,2,1,6,17,2,1,2,48,3,5,29,6,1,49,20,8,17,1,51,11,15,1,5,23,14,1,62,4,5,0,12,27,6,2,2,5,5,3,2,8,5,36,6,32,6,32,17,27,4,3,1,13,1,7,23,8,13,19,8,1,15,9,36,37,6,0,11,4,6,12,17,5,1,0,0,2,5,5,0,0,0,2,131,3,2,0,3,11,1,0,10,0,2,6,3,0,3,2,2,10,0,2,6,1,4,0,0,2,1,3,2,0,8,2,8,2,1,11,1,5,3,1,2,0,1,3,1,0,4,1,1,1,3,1,1,1,0,2,3,6,4,1,6,1,0,2,1,1,0,0,2,2,8,0,2,0,0,0,0,0,1,0,2,5,2,1,1,3,0,5,4,1,4,1,0,0,2,1,0,7,2,3,1,3,0,4,0,2,2,2,1,3,2,11,2,1,9,0,0,1,4,8,0,5,0,8,3,0,0,0,2,2,2,1,7,4,0,0,2,0,7,1,0,0,3,2,2,1,4,1,0,1,1,0,2,1,3,1,1,0,0,9,5,0,1,4,0,1,0,1,4,5,3,4,1,0,3,6,2,1,1,5,4
"1772067093_A07",14,7,10,1,0,32,6,0,6,2,2,2,1,10,12,29,0,0,0,0,6,0,49,1,3,2,0,2,0,0,5,14,2,2,4,0,3,2,2,11,5,4,2,6,2,3,2,0,5,30,1,2,2,4,4,2,4,3,0,1,0,12,0,3,1,5,3,8,15,0,5,4,5,5,23,0,1,1,2,0,0,3,4,2,1,6,5,3,1,4,0,0,1,0,2,1,41,13,0,8,6,0,0,1,0,0,4,2,1,0,7,14,0,9,5,6,6,0,15,3,7,9,0,2,11,3,6,8,19,1,9,10,0,8,0,4,3,14,9,12,7,2,0,1,30,1,9,25,19,0,23,18,2,31,1,25,17,11,5,9,15,6,0,100,0,4,3,17,18,10,3,0,3,6,0,5,9,6,46,15,37,19,19,9,5,2,4,1,21,0,18,13,52,10,30,0,0,13,6,52,40,9,0,3,4,5,14,2,15,3,0,0,2,0,4,0,4,0,2,419,0,6,3,0,0,2,0,1,0,0,8,3,0,2,2,0,3,2,0,8,14,2,1,0,18,4,1,0,4,0,2,0,2,4,10,0,2,1,2,1,4,3,2,0,9,11,4,3,2,0,0,2,0,4,0,0,1,4,7,9,0,0,0,0,1,3,0,3,1,6,3,1,0,9,0,0,5,3,0,0,2,3,0,3,3,0,1,1,0,4,1,6,1,2,1,1,7,2,2,7,3,0,1,3,1,1,0,1,1,3,1,2,3,0,2,4,0,12,11,1,10,0,0,1,3,2,14,0,1,3,0,6,1,1,0,0,3,7,0,2,0,6,3,0,0,2,0,1,6,2,2,6,5,2,1,1,1,2,8,3,3,1,0,5,13,3,1,1,6,3,3,2,1,1,3,0,11,1,6,6
"1772067054_E11",21,13,1,5,3,20,5,5,12,0,2,3,5,14,5,16,4,0,9,10,6,0,16,6,8,1,0,3,1,1,0,6,5,3,5,2,15,0,8,3,5,0,1,2,1,4,1,3,2,7,1,3,1,1,0,1,2,2,3,3,4,7,1,4,1,5,4,8,16,6,8,6,4,0,13,3,4,4,5,0,1,1,1,1,8,4,0,7,0,0,7,2,4,1,1,0,57,16,5,7,5,2,0,0,1,0,4,0,0,1,3,8,6,0,4,1,2,3,2,1,5,9,3,5,0,1,2,2,2,6,5,1,5,3,2,3,1,33,7,8,12,2,3,18,47,7,5,14,11,3,54,40,2,25,7,32,22,18,6,1,19,12,0,55,1,8,5,4,20,5,5,2,5,3,0,9,2,2,27,15,20,5,26,15,15,8,6,6,9,0,12,9,7,27,24,7,1,15,5,44,56,6,0,12,7,13,24,5,8,5,1,2,1,0,9,0,1,0,2,277,7,0,0,3,7,1,4,9,12,0,7,4,2,0,1,4,8,4,2,13,8,5,0,2,9,1,0,1,0,2,1,4,1,1,14,0,0,0,2,2,0,8,1,1,0,7,6,1,4,4,0,2,3,4,0,2,4,1,6,3,1,1,1,2,0,0,1,4,1,9,1,2,3,1,0,0,1,0,1,1,1,4,0,3,6,0,3,4,5,6,3,6,4,0,3,1,3,3,5,6,1,0,4,1,7,0,1,3,4,3,5,3,6,8,1,4,2,1,3,1,6,8,3,2,3,0,1,5,0,1,1,6,1,0,3,0,6,5,3,3,1,3,1,1,2,3,0,2,1,0,0,0,1,4,8,4,3,1,2,4,0,0,1,3,4,1,2,5,4,0,2,2,1,4,1,1,8,0,4,3
